CCode,CName,Code,PSname,PSaddress
S26,Tsing Yi South,S2602,SKH Tsing Yi Chu Yan Primary School,"Cheung Wang Estate, Tsing Yi, New Territories"
S27,Cheung Hang,S2701,Cheung Hang Community Hall,"Cheung Hang Estate, Phase II, Tsing Yi, New Territories"
S28,Ching Fat,S2801,Cheung Fat Estate Community Centre,"6 Tam Kon Shan Road, Tsing Yi, New Territories"
S29,Cheung On,S2901,CNEC Lui Ming Choi Primary School,"Cheung Fat Estate, Tsing Yi, New Territories"
T01,Lantau,T0101,CCC Tai O Primary School,"24-26 Market Street, Tai O, Lantau Island, New Territories"
T01,Lantau,T0102*,Sha Lo Wan Village Office,"17 Chung Hou, Sha Lo Wan, Lantau Island, New Territories"
T01,Lantau,T0103*,Tai O San Tau Village Village Office,"Flat 2D, San Tau Village, Tai O, Lantau Island, New Territories"
T01,Lantau,T0104,Auxiliary Medical Service Tung Chung Training Centre,"1 Ha Ling Pei, Tung Chung, Lantau Island, New Territories"
T01,Lantau,T0105*,Ngau Kwu Long Sam Heung Co-operative Society,"25 Tai Ho San Tsuen, Lantau Island, New Territories"
T01,Lantau,T0106*,"Tai O Room, Po Lin Monastery","Po Lin Monastery, Ngong Ping Road, Ngong Ping, Lantau Island, New Territories"
T01,Lantau,T0107,Mui Wo Sports Centre,"1/F, Mui Wo Municipal Services Building, 9 Ngan Shek Street, Lantau Island, New Territories"
T01,Lantau,T0108,Tong Fuk Village Office,"G/F, 33 Tong Fuk, South Lantau Road, Lantau Island, New Territories"
T01,Lantau,T0109,Bui O Public School,"2 Lo Uk Village, Pui O, Lantau Island, New Territories"
T02,Yat Tung Estate North,T0201,Tung Chung Catholic School,"Yat Tung (2) Estate, 8 Yat Tung Street, Tung Chung, Lantau Island, New Territories"
T03,Yat Tung Estate South,T0301,HKFEW Wong Cho Bau School,"Yat Tung (1) Estate, Tung Chung, Lantau Island, New Territories"
T04,Tung Chung North,T0401,Tung Chung Community Hall,"G/F, Tung Chung Municipal Services Building, 39 Man Tung Road, Tung Chung, Lantau Island, New Territories"
T05,Tung Chung South,T0501,HKFEW Wong Cho Bau Secondary School,"Area 10, Phase 3, Fu Tung Estate, Tung Chung, Lantau Island, New Territories"
T06,Discovery Bay,T0601,SKH Wei Lun Primary School,"Area 13, Discovery Bay, Lantau Island, New Territories"
T09,Cheung Chau South,T0901,Buddhist Wai Yan Memorial College,"25 Tai Hing Tai Road, Cheung Chau, New Territories"
T09,Cheung Chau South,T0902,Caritas Chan Chun Ha Field Studies Centre (St. Paul Campus),"C.C. Lot No.1139, Lung Tsai Tsuen, Cheung Chau, New Territories"
T10,Cheung Chau North,T1001,Cheung Chau Sports Centre,"3 Cheung Chau Hospital Road, Cheung Chau, New Territories"
T10,Cheung Chau North,T1002,Kwok Man School,"30 Kwok Man Road, Cheung Chau, New Territories"
