"CCode","CName","Code","PSname","PSaddress","lon","lat"
"H24","Chi Choi","H2401","Buddhist Hung Sean Chau Memorial College","10 Ping Ting Road, Hammer Hill, Kowloon",114.212576,22.335826
"H24","Chi Choi","H2402","CCC Kei Wa Primary School","3 Wong Kuk Avenue, Choi Hung Estate, Wong Tai Sin, Kowloon",114.2068376,22.335823
"H25","Choi Hung","H2501","SKH St. Benedict's School","11 Lam Chung Avenue, Choi Hung Estate, Kowloon",114.206025,22.3353319
"J03","Kai Yip","J0301","Kai Yip Community Hall","Kai Yip Estate, Kowloon Bay, Kowloon",114.208354,22.32868
"J04","Lai Ching","J0401","Yan Chai Hospital Law Chan Chor Si College","10 Kai Lai Road, Kowloon Bay, Kowloon",114.207877,22.328076
"J07","Jordan Valley","J0701","Hong Kong Christian Service Bliss District Elderly Community Centre","G/F, Choi Lok House, Choi Fook Estate, Kwun Tong, Kowloon",114.2168985,22.3287641
"J07","Jordan Valley","J0702","Choi Ha Estate Kit Sam Kindergarten","Choi Ha Estate, Ngau Tau Kok, Kowloon",114.217627,22.326465
"J08","Shun Tin","J0801","Ning Po No.2 College","9 Shun On Road, Shun Tin Estate, Kwun Tong, Kowloon",114.2249295,22.3259155
"J10","On Lee","J1001","Carmel Leung Sing Tak School","Shun On Estate, Kwun Tong, Kowloon",114.226975,22.328874
"J11","Po Tat","J1101","Sau Mau Ping Catholic Primary School","Po Tat Estate, Sau Mau Ping, Kwun Tong, Kowloon",114.237658,22.318242
"J13","Hiu Lai","J1301","Chan Mung Yan Lutheran Kindergarten","G/F, Hiu On House, Hiu Lai Court, Sau Mau Ping, Kwun Tong, Kowloon",114.22981,22.3201965
"J13","Hiu Lai","J1302","CASMP Chen Lee Wing Tsing Kindergarten","G/F, Hiu Tin House, Hiu Lai Court, Sau Mau Ping, Kwun Tong, Kowloon",114.2288849,22.321727
"J14","Sau Mau Ping South","J1401","Kwun Tong Government Primary School (Sau Ming Road)","130 Sau Ming Road, Sau Mau Ping, Kwun Tong, Kowloon",114.2340265,22.315011
"J14","Sau Mau Ping South","J1402","CNEC Kei Shek Church","G/F, Carpark B, Po Tat Estate, Sau Mau Ping, Kowloon",114.2362955,22.3173665
"J16","Hing Tin","J1601","St. Edward's Catholic Primary School","8 Hing Tin Street, Lam Tin, Kowloon",114.2375511,22.3115264
"J17","Lam Tin","J1701","St. Paul's School (Lam Tin)","10 On Tin Street, Lam Tin, Kowloon",114.2373055,22.3088665
"J17","Lam Tin","J1702","Fei Ngan Kindergarten","Roof Top, Carpark, Hong Yat Court, Lam Tin, Kowloon",114.235422,22.310244
"J19","Ping Tin","J1901","SKH Lee Shiu Keung Primary School","School No.1, Ping Tin Estate, On Tin Street, Lam Tin, Kowloon",114.2376459,22.3075478
"J20","Pak Nga","J2001","SKH Kindly Light Church Holy Carpenter Kindergarten","Level 7, Carpark Building, Hong Pak Court, Lam Tin, Kowloon",114.2128675,22.2810895
"J22","Yau Lai","J2201","SKH Yautong Kei Hin Primary School","23 Yau Tong Road, Yau Tong, Kowloon",114.2351822,22.3002645
"J23","Chui Cheung","J2301","Hong Kong Chinese Women's Club Dr. Ellen Li Learning Centre","Unit 2, Carpark Level 3, Ko Cheung Court, Yau Tong, Kowloon",114.2409055,22.2959665
"J25","Laguna City","J2501","Sai Tso Wan Neighbourhood Community Centre","81 Cha Kwo Ling Road, Yau Tong, Kowloon",114.2289409,22.3072255
"J26","King Tin","J2601","Lam Tin (West) Estate Community Centre","71 Kai Tin Road, Lam Tin, Kowloon",114.2338276,22.3089016
"J27","Tsui Ping","J2701","Our Lady of China Catholic Primary School","Our Lady of China Catholic Primary School, Kwun Tong, Kowloon",114.2304587,22.313022
"J28","Po Lok","J2801","Kwun Tong Maryknoll College","100 Tsui Ping Road, Kwun Tong, Kowloon",114.2287002,22.3180103
"J29","Yuet Wah","J2901","Delia Memorial School (Yuet Wah)","19 Yuet Wah Street, Kwun Tong, Kowloon",114.2270846,22.3140474
"J30","Hip Hong","J3001","Shui Wo Street Sports Centre","8/F, Shui Wo Street Municipal Services Building, 9 Shui Wo Street, Kwun Tong, Kowloon",114.2242705,22.3156875
"J30","Hip Hong","J3002","Hiu Kwong Street Sports Centre","2 Hiu Kwong Street, Kwun Tong, Kowloon",114.2277395,22.3198041
"J31","Hong Lok","J3101","Kwun Tong Kung Lok Government Secondary School","90 Kung Lok Road, Kwun Tong, Kowloon",114.222241,22.3181525
"J32","Ting On","J3201","SKH Kei Hin Primary School","Nam Wah Po Village Tsung Tsin Church, Tai Po, New Territories, HK",114.1655064,22.4423218
"J33","Upper Ngau Tau Kok Estate","J3301","Kwun Tong Methodist Social Service Ngau Tau Kok Youth Integrated Service Centre","The Central Plaza, Upper Ngau Tau Kok Estate, 189 Ngau Tau Kok Road, Kwun Tong, Kowloon",114.2161414,22.3215761
"J34","Lower Ngau Tau Kok Estate","J3401","Chun Wah Road Sports Centre","50 Chun Wah Road, Ngau Tau Kok, Kowloon",114.219712,22.323127
"J34","Lower Ngau Tau Kok Estate","J3402","PLK Koo Bin Kau Lee Day Care Centre for the Elderly","G/F, Kwai Yuet House & Kwai Hin House, Lower Ngau Tau Kok Estate, Kwun Tong, Kowloon",114.1264828,22.3621637
"J36","Lok Wah North","J3601","SKH Kei Lok Primary School","Lok Wah Estate, Ngau Tau Kok, Kowloon",114.222269,22.321092
"J37","Lok Wah South","J3701","Lok Wah Estate Community Centre","80 Chun Wah Road, Lok Wah South Estate, Ngau Tau Kok, Kowloon",114.2226355,22.3204915
"K02","Yeung Uk Road","K0201","Tsuen Wan Catholic Primary School","37-41 Tak Wah Street, Tsuen Wan, New Territories",114.1194929,22.369161
"K03","Hoi Bun","K0301","Shak Chung Shan Memorial Catholic Primary School","39 Wing Shun Street, Riviera Gardens, Tsuen Wan, New Territories",114.113253,22.3637515
"K04","Clague Garden","K0401","POCA Wong Siu Ching Secondary School","2 Tai Pa Street, Tsuen Wan, New Territories",114.1103939,22.3713354
"K06","Discovery Park","K0601","Tsuen King Circuit Sports Centre","38 Mei Wan Street, Tsuen Wan, New Territories",114.1113547,22.3776065
"K07","Tsuen Wan Centre","K0701","Chai Wan Kok Catholic Primary School","2-10 On Yin Street, Tsuen Wan, New Territories",114.1065224,22.3780914
"K08","Allway","K0801","CCC Kei Wai Primary School","167-185 Tsuen King Circuit, Tsuen Wan, New Territories",114.1047308,22.3792089
"K08","Allway","K0802","Chuen Lung Village Office","24C Chuen Lung Village, Route Twisk, Tsuen Wan, New Territories",114.1108005,22.3831874
"K09","Lai To","K0901","Tsuen Wan Government Primary School","600 Castle Peak Road, Belvedere Garden, Tsuen Wan, New Territories",114.1009659,22.3719506
"K10","Ting Sham","K1001","Sham Tseng Catholic Primary School","37 Castle Peak Road - Sham Tseng, Tsuen Wan, New Territories",114.0603668,22.3673122
"K11","Tsuen Wan West","K1101","Hong Kong Baptist Convention Primary School","Belvedere Garden, 2 Lai Shun Road, Tsuen Wan, New Territories",114.100264,22.3707905
"K11","Tsuen Wan West","K1102","St. Francis Xavier's School, Tsuen Wan","60-64 Ham Tin Street, Tsuen Wan, New Territories",114.1170221,22.3685837
"K12","Tsuen Wan Rural","K1201","The Yuen Yuen Institute Tsuen Wan West Elderly Neighbourhood Centre","Shop H2, G/F Rhine Garden, 38 Castle Peak Road, Sham Tseng, New Territories",114.0612421,22.3684922
"K12","Tsuen Wan Rural","K1202","Former Site of Oceanic Kindergarten","D.D.387 Lung Yue Road, Tsing Lung Tau, Tsuen Wan, New Territories",114.0499497,22.3715676
"K12","Tsuen Wan Rural","K1203","Hongkong Garden Club Ltd.","Hongkong Garden, 100 Castle Peak Road, Tsing Lung Tau, Tsuen Wan, New Territories",114.0435195,22.3616941
"K13","Ma Wan","K1301","CCC Kei Wai Primary School (Ma Wan)","12 Pak Lam Road, Park Island, Ma Wan, Tsuen Wan, New Territories",114.0597625,22.3508091
"K14","Luk Yeung","K1401","Wai Tsuen Sports Centre","6 Miu Kong Street, Tsuen Wan, New Territories",114.1224989,22.3723842
"K15","Lei Muk Shue East","K1501","Lei Muk Shue Community Hall","G/F, Hong Shue House, Lei Muk Shue Estate, Tsuen Wan, New Territories",114.1369715,22.3789035
"K15","Lei Muk Shue East","K1502","Ho Pui Tsuen Village Office","House No.48B, Ho Pui Tsuen, Kwok Shui Road, Tsuen Wan, New Territories",114.126595,22.3714696
"K16","Lei Muk Shue West","K1601","Lei Muk Shue Catholic Primary School","Lei Muk Shue Catholic Primary School, Tsuen Wan, New Territories",114.133949,22.3777855
"K17","Shek Wai Kok","K1701","HKTA YYI Shek Wai Kok Primary School","HKTA YYI Shek Wai Kok Primary School, HK",114.109497,22.396428
"K18","Cheung Shek","K1801","Tsuen Wan Lutheran School","Cheung Shan Estate, Tsuen Wan, New Territories",114.130866,22.378463
"K18","Cheung Shek","K1802","Tsuen Wan Public Ho Chuen Yiu Memorial College","Tsuen Wan Public Ho Chuen Yiu Memorial College",114.1261456,22.3759635
"L01","Tuen Mun Town Centre","L0101","Exhibition Gallery, Tuen Mun Town Hall","1/F, 3 Tuen Hi Road, Tuen Mun, New Territories",113.976763,22.391783
"L01","Tuen Mun Town Centre","L0102","SKH St. Simon's Lui Ming Choi Secondary School","85, Tuen Mun Heung Sze Wui Road, Tuen Mun, New Territories",113.9743982,22.3972677
"L02","Siu Chi","L0201","PLK HKTA Yuen Yuen Primary School","26 Tsing Hoi Circuit, Castle Peak Road, Tuen Mun, New Territories",113.9800858,22.3896401
"L02","Siu Chi","L0202","Yan Oi Tong Madam Lau Wong Fat Primary School","Yan Oi Tong Madam Lau Wong Fat Primary School, Hong Kong",114.109497,22.396428
"L03","Siu Tsui","L0301","Semple Memorial Secondary School","18 Siu Lun Street, Tuen Mun, New Territories",113.9779777,22.3842099
"L03","Siu Tsui","L0302","Ching Chung Hau Po Woon Secondary School","21 Hang Fu Street, Tuen Mun, New Territories",113.9725036,22.382713
"L04","On Ting","L0401","On Ting / Yau Oi Community Centre","On Ting Estate, Tuen Mun, New Territories",113.97538,22.387632
"L04","On Ting","L0402","SKH St. Peter's Church Castle Peak Siu Lun Court Kindergarten","G/F, Siu Lun Court Shopping Centre, Tuen Mun, New Territories",113.976676,22.384592
"L05","Yau Oi South","L0501","STFA Tam Pak Yu College","9 Yau Oi Road, Yau Oi Estate, Tuen Mun, New Territories",113.9735611,22.388287
"L06","Yau Oi North","L0601","Islamic Primary School","2 Oi Tak Lane, Yau Oi Estate, Tuen Mun, New Territories",113.9723034,22.388067
"L06","Yau Oi North","L0602","YCH Ho Sik Nam Primary School","Area 16, Tuen Mun, New Territories",113.9693601,22.3935072
"L08","Shan King","L0801","Shan King Community Hall","Shan King Estate, Tuen Mun, New Territories",113.967714,22.399546
"L10","Hing Tsak","L1001","Tai Hing Sports Centre","38 Tsing Chung Koon Road, Tuen Mun, New Territories",113.9732365,22.403301
"L11","San Hui","L1101","Yan Oi Tong Woo Chung District Elderly Community Centre","18 Kai Man Path, Tuen Mun, New Territories",113.9759405,22.3964935
"L11","San Hui","L1102","Tseng Choi Street Community Hall","27 Tseng Choi Street, Tuen Mun, New Territories",113.9773252,22.3999993
"L12","Sam Shing","L1201","The Salvation Army Sam Shing Chuen Lau Ng Ying School","Sam Shing Estate, Castle Peak Road, Tuen Mun, New Territories",113.978936,22.381712
"L12","Sam Shing","L1202","Customs and Excise Training School","10 Tai Lam Chung Road, Tuen Mun, New Territories",114.0204094,22.3633639
"L13","Hanford","L1301","Chung Sing Benevolent Society Mrs Aw Boon Haw Secondary School","20 Siu Lun Street, Tuen Mun, New Territories",113.9785597,22.3840984
"L13","Hanford","L1302","Immigration Service Institute of Training and Development","Upper Ground Floor, 82 Castle Peak Road, Castle Peak Bay, Tuen Mun, New Territories",113.9861791,22.3760601
"L13","Hanford","L1303","PLK Women's Welfare Club Western District Fung Lee Pui Yiu Primary School","11 Kwun Tsing Road, So Kwun Wat, Tuen Mun, New Territories",113.9953676,22.3738203
"L14","Fu Sun","L1401","Community Centre of Sun Tuen Mun Centre","Level 3, Sun Tuen Mun Shopping Centre, 55-65 Lung Mun Road, Tuen Mun, New Territories",113.9643827,22.3812408
"L15","Yuet Wu","L1501","South Tuen Mun Government Secondary School","218 Wu Shan Road, Tuen Mun, New Territories",113.9691813,22.373364
"L16","Siu Hei","L1601","LKWFS Lau Tak Yung Memorial Primary School","263 Wu Chui Road, Tuen Mun, New Territories",113.96848,22.373005
"L17","Wu King","L1701","TWGHs Sun Hoi Directors' College","3 Wu Cheong Street, Wu King Estate, Tuen Mun, New Territories",113.9648541,22.3749092
"L18","Butterfly","L1801","FDBWA Chow Chin Yau School","Siu Shan Court, Butterfly Estate, Tuen Mun, New Territories",113.961598,22.377113
"L18","Butterfly","L1802","Butterfly Bay Community Centre","Butterfly Estate, Tuen Mun, New Territories",113.9623041,22.3766578
"L19","Lok Tsui","L1901","Lutheran Tsang Shing Siu Leun School","Lutheran Tsang Shing Siu Leun School, Hong Kong",114.109497,22.396428
"L19","Lok Tsui","L1902","Lung Kwu Tan Village Office","1 Pak Long Tsuen, Lung Kwu Tan, Tuen Mun, New Territories",113.9198946,22.3904334
"L21","San King","L2101","HKRSS Tuen Mun Primary School","Leung King Estate, Tuen Mun, New Territories",113.9638801,22.4076601
"L22","Leung King","L2201","Leung King Community Centre","Leung King Estate, Tuen Mun, New Territories",113.9638801,22.4076601
"L23","Tin King","L2301","SRBCEPSA Ho Sau Ki School","SRBCEPSA Ho Sau Ki School, Tuen Mun, New Territories",113.9665177,22.405674
"L24","Po Tin","L2401","PLK Horizon East Primary School","PLK Horizon East Primary School, Tuen Mun, New Territories",113.966666,22.4112855
"L24","Po Tin","L2402","Tuen Mun Tsz Tin Tsuen Village Office","93 Tsz Tin Tsuen, Tsz Tin Road, Tuen Mun, New Territories",113.974869,22.4142297
"L25","Kin Sang","L2501","Kin Sang Community Hall","Kin Sang Estate, Tuen Mun, New Territories",113.971628,22.406346
"L26","Siu Hong","L2601","Tuen Mun Government Primary School","Siu Hong Court, Tuen Mun, New Territories",113.9784063,22.4142204
"L27","Prime View","L2701","SKH Mung Yan Primary School","1 King Fung Path, Tuen Mun, New Territories",113.9802427,22.404404
"L27","Prime View","L2702","Hing Tak School","1 Hing Ping Road, Tuen Mun, New Territories",113.9815545,22.4110394
"L28","Fu Tai","L2801","Simon and Eleanor Kwok Building, Lingnan University","SEKG09, Simon and Eleanor Kwok Building, Lingnan University, Tuen Mun, New Territories",113.982443,22.410572
"L28","Fu Tai","L2802","Fuk Hang Tsuen Village Office","Fuk Hang Tsuen Road, Tuen Mun, New Territories",113.9868957,22.4181895
"L29","Tuen Mun Rural","L2901","Kiu Saw Public School","1A Chung Uk Tsuen, Tuen Mun, New Territories",113.9922435,22.4288515
"L29","Tuen Mun Rural","L2902","Tuen Mun School","254 Ng Lau Road, Tuen Mun, New Territories",113.9791136,22.4197706
"L29","Tuen Mun Rural","L2903","Tuen Mun San Tsuen Village Office","57A Tuen Mun San Tsuen, Lam Tei, Tuen Mun, New Territories",113.972655,22.4220576
"M01","Fung Nin","M0101","Yuen Long Merchants Association Primary School","244 Castle Peak Road, Yuen Long, New Territories",114.023721,22.444123
"M03","Nam Ping","M0301","Long Ping Community Hall","Long Ping Estate, Yuen Long, New Territories",114.0241777,22.4499073
"M04","Pek Long","M0401","Yuen Long Long Ping Estate Tung Koon Primary School","Phase 1, Long Ping Estate, Yuen Long, New Territories",114.02154,22.4468664
"M04","Pek Long","M0402","Cumberland Presbyterian Church Yao Dao Secondary School","28 Hong Yip Street, Area 16, Yuen Long Kau Hui, Yuen Long, New Territories",114.033953,22.44668
"M05","Yuen Long Centre","M0501","Yuen Long Post Office","Shop B, G/F, 8 Yuen Long Pau Cheung Square, Yuen Long, New Territories",114.029067,22.445715
"M05","Yuen Long Centre","M0502","Fung Kam Street Sports Centre","20 Fung Yau Street North, Yuen Long, New Territories",114.033038,22.4430161
"M06","Yuen Lung","M0601","CCC Kei Yuen College","Fung Yau Street East, Yuen Long, New Territories",114.0351727,22.442685
"M07","Fung Cheung","M0701","Buddhist Wing Yan School","6 Fung Yau Street South, Yuen Long, New Territories",114.0337005,22.441097
"M13","Ping Shan North","M1301","Wang Chau Village Office","142 Fuk Hing Tsuen, Wang Chau, Yuen Long, New Territories",114.0288886,22.4467901
"M13","Ping Shan North","M1302","Former Sha Kong Public Luen Yick School","Sha Kong Wai, Ping Shan, Yuen Long, New Territories",114.0125849,22.442068
"M14","Ha Tsuen","M1401","ELCHK Wing Jan Lutheran Church","Deep Bay Road, Lau Fau Shan, Yuen Long, New Territories",113.9857738,22.4687732
"M14","Ha Tsuen","M1402","Sik Kong Wai Village Office","56 Sik Kong Wai, Ha Mei Road, Ha Tsuen, Yuen Long, New Territories",113.993138,22.4478312
"M14","Ha Tsuen","M1403","The Neighbourhood Advice - Action Council Tuen Mun / Yuen Long Rural Village Centre","Shop No.1, G/F, Aster Court Shopping Arcade, 8 Hung Tai Road, Hung Shui Kiu, Yuen Long, New Territories",113.996479,22.434258
"M15","Tin Shing","M1501","Queen Elizabeth School Old Students' Association Branch Primary School","Area 3, Phase 4, Tin Shui Wai, Yuen Long, New Territories",114.0041996,22.4606419
"M15","Tin Shing","M1502","Pui Shing Catholic Secondary School","9 Tin Ho Road, Tin Shui Wai, Yuen Long, New Territories",114.0001267,22.4501324
"M16","Shui Oi","M1601","Tin Shui Community Centre","Tin Shui Estate, Tin Shui Wai, Yuen Long, New Territories",113.998856,22.456996
"M17","Shui Wah","M1701","TWGHs Yiu Dak Chi Memorial Primary School (Yuen Long)","Estate Primary School, Phase 1, Tin Shui Estate, Tin Shui Wai, Yuen Long, New Territories",114.0041996,22.4606419
"M18","Chung Wah","M1801","The Jockey Club Eduyoung College","Area 31, Phase 1, Tin Chung Court, Tin Shui Wai, Yuen Long, New Territories",113.9986774,22.46065
"M18","Chung Wah","M1802","TWGHs Leo Tung-hai Lee Primary School","19 Tin Tan Street, Tin Shui Wai, Yuen Long, New Territories",113.9949791,22.460069
"M20","Fu Yan","M2001","Xianggang Putonghua Yanxishe Primary School of Science and Creativity","Tin Fu Court, 25 Tin Sau Road, Tin Shui Wai, Yuen Long, New Territories",113.9993191,22.4651291
"M21","Yat Chak","M2101","Christian Alliance S Y Yeh Memorial Primary School","Tin Chak Estate, Tin Shui Wai, Yuen Long, New Territories",113.99938,22.467869
"M22","Tin Heng","M2201","STFA Wu Mien Tuen Primary School","Tin Heng Estate, Tin Shui Wai, Yuen Long, New Territories",113.9993804,22.4692244
"M24","Ching King","M2401","Tin Ching Community Hall","Tin Ching Estate, Tin Wan Road, Tin Shui Wai, Yuen Long, New Territories",114.003826,22.46319
"M25","Kingswood North","M2501","The Hong Kong Management Association K S Lo College","26 Tin Pak Road, Tin Shui Wai, Yuen Long, New Territories",114.006793,22.4577056
"M26","Tsz Yau","M2601","BTCFS Yeung Yat Lam Memorial School","6 Tin Pak Road, Tin Shui Wai, Yuen Long, New Territories",114.0068133,22.4541599
"M27","Yiu Yau","M2701","Tin Shui Wai Government Secondary School","Phase 2, Tin Yiu Estate, Tin Shui Wai, Yuen Long, New Territories",114.0041996,22.4606419
"M28","Tin Yiu","M2801","Tin Yiu Community Centre","Tin Yiu Estate, Tin Shui Wai, Yuen Long, New Territories",114.005664,22.453526
"M29","Kingswood South","M2901","Vocational Training Council,Youth College (Tin Shui Wai)","11 Tin Ho Road, Tin Shui Wai, Yuen Long, New Territories",113.999488,22.4501514
"M29","Kingswood South","M2902","Tin Shui Wai Government Primary School","8 Tin Shui Road, Tin Shui Wai, Yuen Long, New Territories",113.9988472,22.4584297
"M30","Chung Pak","M3001","HKFYG Lee Shau Kee Primary School","11 Tin Wing Road, Tin Shui Wai, Yuen Long, New Territories",114.0013245,22.4612475
"M31","Fairview Park","M3101","HKMLC Wong Chan Sook Ying Memorial School","Bauhinia Road East, Fairview Park, Tai Shang Wai, Yuen Long, New Territories",114.0490674,22.472378
"M32","San Tin","M3201","Tun Yu School","San Tin, Yuen Long, New Territories",114.0696131,22.4950121
"M32","San Tin","M3202","Temporary Office at the Open Space in front of the intersection of Ha Chuk Yuen Road and Kam Pok Road","Chuk Yuen Tsuen, Castle Peak Road - Tam Mi, Yuen Long, New Territories",114.0362251,22.4443796
"M34","Pat Heung North","M3401","Toi Shan Public School (Former)","100 Wang Toi Shan Shan Tsuen, Fan Kam Road, Pat Heung, Yuen Long, New Territories",114.0927264,22.4431875
"M35","Pat Heung South","M3501","Pat Heung Central Primary School (Shek Wu Tong)","168 Shek Wu Tong Tsuen, Kam Sheung Road, Pat Heung, Yuen Long, New Territories",114.0830567,22.428057
"N01","Luen Wo Hui","N0101","HHCKLA Buddhist Ma Kam Chan Memorial English Secondary School","HHCKLA Buddhist Ma Kam Chan Memorial English Secondary School, Fanling, New Territories, Hong Kong",114.1384766,22.4917369
"N02","Fanling Town","N0201","Fanling Public School","651 Fanling Village, Fanling, New Territories",114.139824,22.4951629
"N02","Fanling Town","N0202","Caritas Fanling Chan Chun Ha Secondary School","28 San Wan Road, Fanling, New Territories",114.1424381,22.4914316
"N03","Cheung Wah","N0301","Cheung Wah Community Hall","Cheung Wah Estate, Fanling, New Territories",114.140036,22.492606
"N05","Wah Ming","N0501","Fung Kai Liu Yun Sum Memorial School","Wah Ming Estate, Fanling, New Territories",114.1400339,22.4852215
"N08","Fanling South","N0801","Fanling Government Secondary School","27 Yat Ming Road, Fanling, New Territories",114.1446216,22.4861591
"N08","Fanling South","N0802","Tin Ka Ping Secondary School","1 Wai Hon Road, Fanling, New Territories",114.1311866,22.4944136
"N10","Yu Tai","N1001","Elegantia College (Sponsored by Education Convergence)","8 Ching Shing Road, Sheung Shui, New Territories",114.124183,22.4927976
"N11","Sheung Shui Rural","N1101","Kam Tsin Village Ho Tung School","Kam Tsin Village, Sheung Shui, New Territories",114.111537,22.5020588
"N11","Sheung Shui Rural","N1102","Tsiu Keng Village Office","Tsiu Keng Lo Wai, Sheung Shui, New Territories",114.1231516,22.5077672
"N11","Sheung Shui Rural","N1103","Ku Tung Public Oi Wah School","Ho Sheung Heung Road, Kwu Tung Village, Sheung Shui, New Territories",114.1052008,22.5113482
"N11","Sheung Shui Rural","N1104","Hang Tau Village Office","25 Hang Tau Tsuen, Sheung Shui, New Territories",114.103408,22.4942734
"N12","Choi Yuen","N1201","Choi Yuen Estate Hall","Choi Yuen Estate, Sheung Shui, New Territories",114.1264568,22.5013326
"N13","Shek Wu Hui","N1301","Lung Sum Avenue Sports Centre","155 Jockey Club Road, Sheung Shui, New Territories",114.1306804,22.5049775
"N13","Shek Wu Hui","N1302","SKH Chan Young Secondary School","6 Chi Cheong Road, Sheung Shui, New Territories",114.1328115,22.5009515
"N13","Shek Wu Hui","N1303","HHCKLA Buddhist Chan Shi Wan Primary School","Yuk Po Court, Sheung Shui, New Territories",114.127361,22.500644
"N14","Tin Ping West","N1401","Shek Wu Hui Public School","Tin Ping Estate, Sheung Shui, New Territories",114.132424,22.502215
"N15","Fung Tsui","N1501","Fung Kai Liu Man Shek Tong Secondary School","6 Fung Nam Road, Sheung Shui, New Territories",114.127028,22.5083185
"N16","Sha Ta","N1601","Ta Ku Ling Ling Ying Public School","Ta Ku Ling Ling Ying Public School, Ta Ku Ling, North District, New Territories, Hong Kong",114.1558258,22.5009081
"N16","Sha Ta","N1602","International College Hong Kong","60 Sha Tau Kok Road, Shek Chung Au, Sha Tau Kok, New Territories",114.2110905,22.5359935
"N16","Sha Ta","N1603*","Kut O Village Association","51 Kat O Main Street, Kat O Island, Sha Tau Kok, New Territories",114.2911123,22.5501565
"N16","Sha Ta","N1604","Sha Tau Kok Central Primary School","Sha Tau Kok Central Primary School, Sha Tau Kok Hui, Sha Tau Kok, New Territories, Hong Kong",114.20324,22.531577
"N16","Sha Ta","N1605*","Lee's Ancestral Hall","103 Chi Sum Road, Wu Kau Tang Village, Sha Tau Kok, New Territories",114.2413947,22.5066734
"N16","Sha Ta","N1606","Ta Kwu Ling Community Hall","G/F, Ta Kwu Ling Rural Centre Government Building, 136 Ping Che Road, Ta Kwu Ling, New Territories",114.160609,22.524517
"N17","Tin Ping East","N1701","Tin Ping Sports Centre","3/F, Tin Ping Shopping Centre, Tin Ping Estate, Sheung Shui, New Territories, HK",114.1260991,22.5112008
"N17","Tin Ping East","N1702","Luen Wo Hui Community Hall","G/F, 9 Wo Mun Street, Luen Wo Hui, Fanling, New Territories",114.144534,22.499484
"P01","Tai Po Hui","P0101","Tai Po Community Centre (Exhibition Hall)","2 Heung Sze Wui Street, Tai Po, New Territories",114.165982,22.4467665
"P02","Tai Po Central","P0201","Tai Po Government Secondary School","12 On Pong Road, Tai Po, New Territories",114.1683091,22.451554
"P03","Chung Ting","P0301","NTW&JWAL Leung Sing Tak Primary School","Tai Yuen Estate, Tai Po, New Territories",114.170366,22.456168
"P03","Chung Ting","P0302","HKRSS Tai Po Secondary School","Fu Heng Estate, Tai Po, New Territories",114.171039,22.456213
"P04","Tai Yuen","P0401","Tai Yuen Community Hall","Tai Yuen Estate, Tai Po, New Territories",114.170366,22.456168
"P05","Fu Heng","P0501","Fu Heng Neighbourhood Community Centre","Fu Heng Neighbourhood Community Centre",114.1719354,22.4598115
"P06","Yee Fu","P0601","Fu Shin Community Hall","Fu Shin Estate, Tai Po, New Territories",114.1763995,22.454681
"P07","Fu Ming Sun","P0701","HKTA The Yuen Yuen Institute No.2 Secondary School","Fu Shin Estate, Tai Po, New Territories",114.1763995,22.454681
"P08","Kwong Fuk & Plover Cove","P0801","Kwong Fuk Community Hall","Kwong Fuk Estate, Tai Po, New Territories",114.172989,22.446357
"P08","Kwong Fuk & Plover Cove","P0802","Sung Tak Wong Kin Sheung Memorial School","Tung Cheong Street, Tai Po, New Territories",114.1695736,22.448362
"P09","Wang Fuk","P0901","Tai Po Baptist Public School","Kwong Fuk Estate, Tai Po, New Territories",114.172989,22.446357
"P11","Wan Tau Tong","P1101","Wan Tau Tong Neighbourhood Community Centre","Wan Tau Tong Estate, Tai Po, New Territories",114.168907,22.44316
"P12","San Fu","P1201","Law Ting Pong Secondary School","8 Ma Chung Road, Tai Po, New Territories",114.1652196,22.4431214
"P12","San Fu","P1202","Norwegian International School","170 Kam Shan Road, Tai Po, New Territories",114.157898,22.4479439
"P13","Lam Tsuen Valley","P1301","Nam Wah Po Village Tsung Tsin Church","Nam Wah Po Village, Tai Wo Service Road West, Lam Tsuen Valley, Tai Po, New Territories, HK",114.1655064,22.4423218
"P13","Lam Tsuen Valley","P1302","Lions Club Lam Tsuen Youth Centre","Fong Ma Po, Lam Tsuen, Tai Po, New Territories",114.1739716,22.3708315
"P13","Lam Tsuen Valley","P1303","Tai Po Tau Shui Wai Village Office","G/F, Tai Po Tau Shui Wai Village Office, Tai Po, New Territories",114.1476767,22.4638268
"P13","Lam Tsuen Valley","P1304","Tai Hang Public School","Tai Hang Village, Tai Po, New Territories",114.15083,22.469739
"P14","Po Nga","P1401","Assembly of God Hebron Secondary School","Assembly of God Hebron Secondary School, Po Nga Court, Tai Po, New Territories",114.1611774,22.4505223
"P16","Old Market & Serenity","P1601","Tai Wo Neighbourhood Community Centre","Tai Wo Estate, Tai Po, New Territories",114.1610278,22.451949
"P17","Hong Lok Yuen","P1701","Tai Po Sam Yuk Secondary School","2 Tai Po Tau Drive, Tai Po, New Territories",114.1590361,22.4542808
"P17","Hong Lok Yuen","P1702","Kau Lung Hang Public Yuk Yin School","62 Kau Lung Hang Village, Tai Po, New Territories",114.1476767,22.4638268
"P17","Hong Lok Yuen","P1703","Conference Room of Hong Lok Yuen Management Services Office","Flat A, 1/F, No.5 Town Centre Crescent, Hong Lok Yuen, Tai Po, New Territories",114.1522091,22.4625737
